textsentence_id,text_id,sentence_id,word_count,sentiment,sentence,language,word,translated_word,freq
UgyBy0iubNWaGLEsiFt4AaABAg_0,UgyBy0iubNWaGLEsiFt4AaABAg,0,5,0.2,Thanks for the review.,English,thanks,thanks,1.0
UgyBy0iubNWaGLEsiFt4AaABAg_0,UgyBy0iubNWaGLEsiFt4AaABAg,0,5,0.2,Thanks for the review.,English,review,review,1.0
UgyBy0iubNWaGLEsiFt4AaABAg_1,UgyBy0iubNWaGLEsiFt4AaABAg,1,33,-0.25,"Was quite interested in this, but the monthly payment and having to rely on their online service for it to be of any use is completely horrible and a total dealbreaker.",English,payment,payment,1.0
UgyBy0iubNWaGLEsiFt4AaABAg_1,UgyBy0iubNWaGLEsiFt4AaABAg,1,33,-0.25,"Was quite interested in this, but the monthly payment and having to rely on their online service for it to be of any use is completely horrible and a total dealbreaker.",English,service,service,1.0
UgyBy0iubNWaGLEsiFt4AaABAg_1,UgyBy0iubNWaGLEsiFt4AaABAg,1,33,-0.25,"Was quite interested in this, but the monthly payment and having to rely on their online service for it to be of any use is completely horrible and a total dealbreaker.",English,use,use,1.0
UgyBy0iubNWaGLEsiFt4AaABAg_1,UgyBy0iubNWaGLEsiFt4AaABAg,1,33,-0.25,"Was quite interested in this, but the monthly payment and having to rely on their online service for it to be of any use is completely horrible and a total dealbreaker.",English,dealbreaker,dealbreaker,1.0
UgyBy0iubNWaGLEsiFt4AaABAg_2,UgyBy0iubNWaGLEsiFt4AaABAg,2,13,0.0,Would never consider it now that I know that's the case.,English,case,case,1.0
UgyBy0iubNWaGLEsiFt4AaABAg_3,UgyBy0iubNWaGLEsiFt4AaABAg,3,40,-0.028,"While it might work well in short-term, I'm not happy to pay for such a high price for something that's future is completely uncertain and relying on their online service - aswell as my online functionality.",English,term,term,1.0
UgyBy0iubNWaGLEsiFt4AaABAg_3,UgyBy0iubNWaGLEsiFt4AaABAg,3,40,-0.028,"While it might work well in short-term, I'm not happy to pay for such a high price for something that's future is completely uncertain and relying on their online service - aswell as my online functionality.",English,price,price,1.0
UgyBy0iubNWaGLEsiFt4AaABAg_3,UgyBy0iubNWaGLEsiFt4AaABAg,3,40,-0.028,"While it might work well in short-term, I'm not happy to pay for such a high price for something that's future is completely uncertain and relying on their online service - aswell as my online functionality.",English,something,something,1.0
UgyBy0iubNWaGLEsiFt4AaABAg_3,UgyBy0iubNWaGLEsiFt4AaABAg,3,40,-0.028,"While it might work well in short-term, I'm not happy to pay for such a high price for something that's future is completely uncertain and relying on their online service - aswell as my online functionality.",English,future,future,1.0
UgyBy0iubNWaGLEsiFt4AaABAg_3,UgyBy0iubNWaGLEsiFt4AaABAg,3,40,-0.028,"While it might work well in short-term, I'm not happy to pay for such a high price for something that's future is completely uncertain and relying on their online service - aswell as my online functionality.",English,service,service,1.0
UgyBy0iubNWaGLEsiFt4AaABAg_3,UgyBy0iubNWaGLEsiFt4AaABAg,3,40,-0.028,"While it might work well in short-term, I'm not happy to pay for such a high price for something that's future is completely uncertain and relying on their online service - aswell as my online functionality.",English,online,online,1.0
UgyBy0iubNWaGLEsiFt4AaABAg_3,UgyBy0iubNWaGLEsiFt4AaABAg,3,40,-0.028,"While it might work well in short-term, I'm not happy to pay for such a high price for something that's future is completely uncertain and relying on their online service - aswell as my online functionality.",English,functionality,functionality,1.0
UgyydhSE6g01pxzkS5h4AaABAg_0,UgyydhSE6g01pxzkS5h4AaABAg,0,3,-0.5,Bitch is failed,English,bitch,bitch,1.0
Ugw-lNQqJgqrx9V-TA94AaABAg_0,Ugw-lNQqJgqrx9V-TA94AaABAg,0,2,0.0,Fuck logitech,German,fuck,fuck,1.0
Ugw-lNQqJgqrx9V-TA94AaABAg_0,Ugw-lNQqJgqrx9V-TA94AaABAg,0,2,0.0,Fuck logitech,German,logitech,logitech,1.0
UgwO3wabL2JLKlaAhBN4AaABAg_0,UgwO3wabL2JLKlaAhBN4AaABAg,0,11,0.0,"Needs opinions; this, or the arlo pro??",English,needs,needs,1.0
UgwO3wabL2JLKlaAhBN4AaABAg_0,UgwO3wabL2JLKlaAhBN4AaABAg,0,11,0.0,"Needs opinions; this, or the arlo pro??",English,opinions,opinions,1.0
UgwO3wabL2JLKlaAhBN4AaABAg_0,UgwO3wabL2JLKlaAhBN4AaABAg,0,11,0.0,"Needs opinions; this, or the arlo pro??",English,pro,pro,1.0
Ugz4Bj2qRVR3KsNyUX14AaABAg_0,Ugz4Bj2qRVR3KsNyUX14AaABAg,0,32,0.0,"Hey if you plug the wireless version of the camera into a solar powered power bank, would that allow it to work without having to bring it in for charging?",English,hey,hey,1.0
Ugz4Bj2qRVR3KsNyUX14AaABAg_0,Ugz4Bj2qRVR3KsNyUX14AaABAg,0,32,0.0,"Hey if you plug the wireless version of the camera into a solar powered power bank, would that allow it to work without having to bring it in for charging?",English,version,version,1.0
Ugz4Bj2qRVR3KsNyUX14AaABAg_0,Ugz4Bj2qRVR3KsNyUX14AaABAg,0,32,0.0,"Hey if you plug the wireless version of the camera into a solar powered power bank, would that allow it to work without having to bring it in for charging?",English,camera,camera,1.0
Ugz4Bj2qRVR3KsNyUX14AaABAg_0,Ugz4Bj2qRVR3KsNyUX14AaABAg,0,32,0.0,"Hey if you plug the wireless version of the camera into a solar powered power bank, would that allow it to work without having to bring it in for charging?",English,power,power,1.0
Ugz4Bj2qRVR3KsNyUX14AaABAg_0,Ugz4Bj2qRVR3KsNyUX14AaABAg,0,32,0.0,"Hey if you plug the wireless version of the camera into a solar powered power bank, would that allow it to work without having to bring it in for charging?",English,bank,bank,1.0
UgxEnkn8KrOJHlyXtgV4AaABAg_0,UgxEnkn8KrOJHlyXtgV4AaABAg,0,20,0.0,"Its not recording 1080p, it's doing 720p and there is no way to change it to 1080p!",English,way,way,1.0
